threshold,ba,speech_acc,nonspeech_acc,overall_acc
0.0,0.5,1.0,0.0,0.5
0.05,0.5,1.0,0.0,0.5
0.1,0.5,1.0,0.0,0.5
0.15000000000000002,0.7204861111111112,0.8368055555555556,0.6041666666666666,0.7204861111111112
0.2,0.7204861111111112,0.8368055555555556,0.6041666666666666,0.7204861111111112
0.25,0.7204861111111112,0.8368055555555556,0.6041666666666666,0.7204861111111112
0.30000000000000004,0.7204861111111112,0.8368055555555556,0.6041666666666666,0.7204861111111112
0.35000000000000003,0.7204861111111112,0.8368055555555556,0.6041666666666666,0.7204861111111112
0.4,0.7204861111111112,0.8368055555555556,0.6041666666666666,0.7204861111111112
0.45,0.7204861111111112,0.8368055555555556,0.6041666666666666,0.7204861111111112
0.5,0.7204861111111112,0.8368055555555556,0.6041666666666666,0.7204861111111112
0.55,0.7204861111111112,0.8368055555555556,0.6041666666666666,0.7204861111111112
0.6000000000000001,0.7204861111111112,0.8368055555555556,0.6041666666666666,0.7204861111111112
0.65,0.7204861111111112,0.8368055555555556,0.6041666666666666,0.7204861111111112
0.7000000000000001,0.7204861111111112,0.8368055555555556,0.6041666666666666,0.7204861111111112
0.75,0.7204861111111112,0.8368055555555556,0.6041666666666666,0.7204861111111112
0.8,0.7204861111111112,0.8368055555555556,0.6041666666666666,0.7204861111111112
0.8500000000000001,0.7204861111111112,0.8368055555555556,0.6041666666666666,0.7204861111111112
0.9,0.7204861111111112,0.8368055555555556,0.6041666666666666,0.7204861111111112
0.9500000000000001,0.5,0.0,1.0,0.5
1.0,0.5,0.0,1.0,0.5
